left_sensor,right_sensor,status
0,0,Normal
0,0,Normal
0,0,Normal
0,0,Normal
0,0,Normal
0,0,Normal
0,0,Normal
0,0,Normal
0,0,Normal
1,1,Break
1,0,Crack_Left
1,1,Break
0,1,Crack_Right
0,1,Crack_Right
0,1,Crack_Right
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,0,Crack_Left
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
1,1,Break
0,1,Crack_Right
0,0,Normal
0,1,Crack_Right
0,0,Normal
0,0,Normal
0,0,Normal
0,0,Normal
0,0,Normal
0,1,Crack_Right
0,1,Crack_Right
0,0,Normal
0,0,Normal
0,0,Normal
0,0,Normal
0,1,Crack_Right
0,0,Normal
1,0,Crack_Left
0,1,Crack_Right
1,0,Crack_Left
0,1,Crack_Right
1,0,Crack_Left
0,1,Crack_Right
0,0,Normal
0,0,Normal
0,0,Normal
0,0,Normal
0,0,Normal
0,1,Crack_Right
0,0,Normal
0,0,Normal
0,0,Normal
0,0,Normal
0,1,Crack_Right
0,0,Normal
1,0,Crack_Left
0,0,Normal
0,0,Normal
0,0,Normal
0,0,Normal
0,1,Crack_Right
0,0,Normal
0,0,Normal
0,1,Crack_Right
0,0,Normal
1,0,Crack_Left
1,0,Crack_Left
0,0,Normal
0,1,Crack_Right
0,0,Normal
1,0,Crack_Left
0,0,Normal
0,1,Crack_Right
0,1,Crack_Right
1,0,Crack_Left
0,0,Normal
0,1,Crack_Right
0,0,Normal
1,0,Crack_Left
0,0,Normal
0,1,Crack_Right
0,0,Normal
1,0,Crack_Left
0,0,Normal
0,1,Crack_Right
0,0,Normal
1,0,Crack_Left
0,1,Crack_Right
0,1,Crack_Right
0,0,Normal
1,0,Crack_Left
1,0,Crack_Left
0,0,Normal
0,1,Crack_Right
0,1,Crack_Right
0,0,Normal
1,0,Crack_Left
0,0,Normal
0,0,Normal
0,0,Normal
0,1,Crack_Right
0,1,Crack_Right
0,0,Normal
0,0,Normal
0,0,Normal
1,0,Crack_Left
0,0,Normal
0,0,Normal
1,0,Crack_Left
0,1,Crack_Right
0,0,Normal
0,1,Crack_Right
0,1,Crack_Right
0,1,Crack_Right
0,0,Normal
0,0,Normal
0,1,Crack_Right
0,1,Crack_Right
0,0,Normal
0,1,Crack_Right
0,1,Crack_Right
0,0,Normal
1,0,Crack_Left
0,0,Normal
1,1,Break
0,0,Normal
1,0,Crack_Left
1,0,Crack_Left
0,0,Normal
0,1,Crack_Right
0,0,Normal
0,1,Crack_Right
0,0,Normal
1,0,Crack_Left
1,0,Crack_Left
0,0,Normal
0,0,Normal
1,0,Crack_Left
0,1,Crack_Right
0,0,Normal
0,0,Normal
1,1,Break
0,0,Normal
0,0,Normal
0,0,Normal
0,0,Normal
0,1,Crack_Right
0,1,Crack_Right
0,1,Crack_Right
0,0,Normal
1,0,Crack_Left
0,0,Normal
1,0,Crack_Left
0,0,Normal
0,0,Normal
0,0,Normal
0,0,Normal
0,0,Normal
